BankName,BankId,Currency,BuyRate,SellRate,BbBuyRate,BbSellRate
EXIM Bank Ltd.,41,EUR,97.5,100,95.5,95.5075
Bangladesh Commerce Bank Ltd.,12,EUR,93.6472,98.1472,95.5,95.5075
Bank Asia Ltd.,10,EUR,90.38,100.92,95.5,95.5075
The Premier Bank Ltd.,35,EUR,93.4139,97.2422,95.5,95.5075
Mutual Trust Bank Ltd.,21,EUR,95.0455,99.0455,95.5,95.5075
FSIBL,44,EUR,94.2207,99.9686,95.5,95.5075
Trust Bank Ltd.,36,EUR,94.91,99.79,95.5,95.5075
Standard Chartered Bank,53,EUR,95.04,98.8,95.5,95.5075
Habib Bank Ltd.,50,EUR,94.48,98.32,95.5,95.5075
Commercial Bank of Ceylon,49,EUR,92.2802,97.358,95.5,95.5075
State Bank of India,54,EUR,100,104,95.5,95.5075
Woori Bank,55,EUR,-,-,95.5,95.5075
Bank Alfalah Limited,47,EUR,-,-,95.5,95.5075
Citi Bank N.A.,64,EUR,101,104,95.5,95.5075
HSBC,51,EUR,94.0095,97.1196,95.5,95.5075
Jamuna Bank Ltd.,17,EUR,98,101,95.5,95.5075
Brac Bank Limited,8,EUR,96.8719,100.7742,95.5,95.5075
Shahjalal Islami Bank Ltd.,43,EUR,96.26,99.26,95.5,95.5075
NRB Commercial Bank Ltd.,25,EUR,96.5,99.5,95.5,95.5075
Midland Bank Limited,19,EUR,94.4936,99.3172,95.5,95.5075
Modhumoti Bank Limited,20,EUR,93.111,98.651,95.5,95.5075
NRB Global Bank Limited,26,EUR,94,98,95.5,95.5075
Union Bank Limited,45,EUR,,,95.5,95.5075
Janata Bank Limited,57,EUR,95.7,98.7,95.5,95.5075
Social Islami Bank Ltd.,42,EUR,97.89,100.39,95.5,95.5075
National Bank of Pakistan,52,EUR,-,-,95.5,95.5075
SBACBL,30,GBP,107,111,108.973,107.9898
NRB Bank Ltd.,24,GBP,109.36,110.85,108.973,107.9898
The Farmers Bank Limited,34,GBP,,,108.973,107.9898
Meghna Bank Ltd.,9,GBP,103.34,111.44,108.973,107.9898
Agrani Bank Limited,58,GBP,108.5,112.5,108.973,107.9898
Pubali Bank Limited,29,GBP,105.3,111,108.973,107.9898
Rupali Bank Limited,59,GBP,108,112,108.973,107.9898
Sonali Bank Limited,56,GBP,106.1,110.1,108.973,107.9898
Uttara Bank Limited,38,GBP,106.5581,109.1785,108.973,107.9898
Bangladesh Krishi Bank,63,GBP,108.5,112.5,108.973,107.9898
BDBL,61,GBP,106.1,110.1,108.973,107.9898
AB Bank Ltd.,13,GBP,109.12,113.13,108.973,107.9898
The City Bank Ltd.,33,GBP,108.03,114.01,108.973,107.9898
IFIC Bank Ltd.,16,GBP,106.966,109.8454,108.973,107.9898
Islami Bank Bangladesh Ltd.,39,GBP,107.6,110.6,108.973,107.9898
National Bank Ltd.,22,GBP,109.5,112.5,108.973,107.9898
United Commercial Bank Ltd.,37,GBP,105.8829,111.3311,108.973,107.9898
Al-Arafa Islami Bank Ltd.,40,GBP,108,112,108.973,107.9898
ICB Islamic Bank Ltd.,46,GBP,112.2973,114.1902,108.973,107.9898
BASIC Bank Ltd.,60,GBP,107.9792,112.6033,108.973,107.9898
South East Bank Ltd.,31,GBP,108.62,112.62,108.973,107.9898
Dhaka Bank Ltd.,14,GBP,107.855,110.855,108.973,107.9898
Eastern Bank Ltd.,11,GBP,105.26,111.42,108.973,107.9898
Prime Bank Ltd.,28,GBP,106.6499,110.8121,108.973,107.9898
NCCBL,23,GBP,104.3224,111.5662,108.973,107.9898
Dutch-Bangla Bank Ltd.,15,GBP,108.02,113.02,108.973,107.9898
Mercantile Bank Ltd.,18,GBP,108.7659,112.4541,108.973,107.9898
Standard Bank Ltd.,32,GBP,106,111,108.973,107.9898
One Bank Ltd.,27,GBP,-,-,108.973,107.9898
EXIM Bank Ltd.,41,GBP,109.5,112.5,108.973,107.9898
Bangladesh Commerce Bank Ltd.,12,GBP,105.2331,109.7331,108.973,107.9898
