BankName,BankId,Currency,BuyRate,SellRate,BbBuyRate,BbSellRate
State Bank of India,54,SGD,,,61.2096,61.2588
Woori Bank,55,SGD,,,61.2096,61.2588
Bank Alfalah Limited,47,SGD,,,61.2096,61.2588
Citi Bank N.A.,64,SGD,,,61.2096,61.2588
HSBC,51,SGD,,,61.2096,61.2588
Jamuna Bank Ltd.,17,SGD,,,61.2096,61.2588
Brac Bank Limited,8,SGD,,,61.2096,61.2588
Shahjalal Islami Bank Ltd.,43,SGD,,,61.2096,61.2588
NRB Commercial Bank Ltd.,25,SGD,,,61.2096,61.2588
Midland Bank Limited,19,SGD,,,61.2096,61.2588
Modhumoti Bank Limited,20,SGD,,,61.2096,61.2588
NRB Global Bank Limited,26,SGD,,,61.2096,61.2588
Union Bank Limited,45,SGD,,,61.2096,61.2588
Janata Bank Limited,57,SGD,,,61.2096,61.2588
Social Islami Bank Ltd.,42,SGD,,,61.2096,61.2588
National Bank of Pakistan,52,SGD,,,61.2096,61.2588
SBACBL,30,CNH,,,12.1811,12.1889
NRB Bank Ltd.,24,CNH,,,12.1811,12.1889
The Farmers Bank Limited,34,CNH,,,12.1811,12.1889
Meghna Bank Ltd.,9,CNH,,,12.1811,12.1889
Agrani Bank Limited,58,CNH,,,12.1811,12.1889
Pubali Bank Limited,29,CNH,,,12.1811,12.1889
Rupali Bank Limited,59,CNH,,,12.1811,12.1889
Sonali Bank Limited,56,CNH,,,12.1811,12.1889
Uttara Bank Limited,38,CNH,,,12.1811,12.1889
Bangladesh Krishi Bank,63,CNH,,,12.1811,12.1889
BDBL,61,CNH,,,12.1811,12.1889
AB Bank Ltd.,13,CNH,,,12.1811,12.1889
The City Bank Ltd.,33,CNH,,,12.1811,12.1889
IFIC Bank Ltd.,16,CNH,,,12.1811,12.1889
Islami Bank Bangladesh Ltd.,39,CNH,,,12.1811,12.1889
National Bank Ltd.,22,CNH,,,12.1811,12.1889
United Commercial Bank Ltd.,37,CNH,,,12.1811,12.1889
Al-Arafa Islami Bank Ltd.,40,CNH,,,12.1811,12.1889
ICB Islamic Bank Ltd.,46,CNH,,,12.1811,12.1889
BASIC Bank Ltd.,60,CNH,,,12.1811,12.1889
South East Bank Ltd.,31,CNH,,,12.1811,12.1889
Dhaka Bank Ltd.,14,CNH,,,12.1811,12.1889
Eastern Bank Ltd.,11,CNH,,,12.1811,12.1889
Prime Bank Ltd.,28,CNH,,,12.1811,12.1889
NCCBL,23,CNH,,,12.1811,12.1889
Dutch-Bangla Bank Ltd.,15,CNH,,,12.1811,12.1889
Mercantile Bank Ltd.,18,CNH,,,12.1811,12.1889
Standard Bank Ltd.,32,CNH,,,12.1811,12.1889
One Bank Ltd.,27,CNH,,,12.1811,12.1889
EXIM Bank Ltd.,41,CNH,,,12.1811,12.1889
Bangladesh Commerce Bank Ltd.,12,CNH,,,12.1811,12.1889
Bank Asia Ltd.,10,CNH,,,12.1811,12.1889
The Premier Bank Ltd.,35,CNH,,,12.1811,12.1889
Mutual Trust Bank Ltd.,21,CNH,,,12.1811,12.1889
FSIBL,44,CNH,,,12.1811,12.1889
Trust Bank Ltd.,36,CNH,,,12.1811,12.1889
Standard Chartered Bank,53,CNH,,,12.1811,12.1889
Habib Bank Ltd.,50,CNH,,,12.1811,12.1889
Commercial Bank of Ceylon,49,CNH,,,12.1811,12.1889
State Bank of India,54,CNH,,,12.1811,12.1889
Woori Bank,55,CNH,,,12.1811,12.1889
Bank Alfalah Limited,47,CNH,,,12.1811,12.1889
Citi Bank N.A.,64,CNH,,,12.1811,12.1889
HSBC,51,CNH,,,12.1811,12.1889
Jamuna Bank Ltd.,17,CNH,,,12.1811,12.1889
Brac Bank Limited,8,CNH,,,12.1811,12.1889
Shahjalal Islami Bank Ltd.,43,CNH,,,12.1811,12.1889
NRB Commercial Bank Ltd.,25,CNH,,,12.1811,12.1889
Midland Bank Limited,19,CNH,,,12.1811,12.1889
Modhumoti Bank Limited,20,CNH,,,12.1811,12.1889
NRB Global Bank Limited,26,CNH,,,12.1811,12.1889
Union Bank Limited,45,CNH,,,12.1811,12.1889
Janata Bank Limited,57,CNH,,,12.1811,12.1889
Social Islami Bank Ltd.,42,CNH,,,12.1811,12.1889
National Bank of Pakistan,52,CNH,,,12.1811,12.1889
